,threshold,accuracy,f1,auc,brier,crps,pinball_0.1,pinball_0.5,pinball_0.9,Model
h1,0.49,0.4554865424430642,0.6126656848306333,0.4939290161892902,0.2493195415867514,0.0146648120135068,0.0032150468323379,0.0070155318826437,0.0072786868549883,MLP
h7,0.47,0.4016563146997929,0.5419968304278923,0.5347924500748421,0.2441402156519699,0.0294845774769783,0.0084077073261141,0.0189352463930845,0.0094127152115106,MLP
h30,0.4696322083473205,0.5134575569358178,0.4880174291938998,0.5291963127825873,0.2464878705963095,0.0399749986827373,0.0129972919821739,0.0327900908887386,0.0141898775473237,MLP
h1,0.4597923159599304,0.484472049689441,0.5938009787928222,0.5360280891102809,0.2478545447543481,0.0235556252300739,0.0054538496769964,0.0156546384096145,0.0056892721913754,LSTM
h7,0.4599999999999999,0.4078674948240166,0.5545171339563862,0.5716384943959696,0.2429357899806248,0.0289978235960006,0.0107069555670022,0.0173661205917596,0.0089443335309624,LSTM
h30,0.4797373414039612,0.5693581780538303,0.6162361623616236,0.7194455154042969,0.2452490631859083,0.0357354283332824,0.0126479724422097,0.0308909695595502,0.0132716437801718,LSTM
h1,0.48,0.453416149068323,0.6239316239316239,0.5064947419399475,0.2489406266306555,0.0217985454946756,0.0071577308699488,0.0100647686049342,0.0070389448665082,GRU
h7,0.4599999999999999,0.3830227743271222,0.5457317073170732,0.613321894052791,0.2431704923451647,0.0161468312144279,0.0065188673324882,0.0184655282646417,0.0084794079884886,GRU
h30,0.4698624312877655,0.5093167701863354,0.4814004376367615,0.5846272475552907,0.2447315536908565,0.0409834459424018,0.0121956439688801,0.0300635639578104,0.0137193100526928,GRU
h1,0.47,0.4409937888198758,0.5659163987138264,0.487062404870624,0.2484316369187651,0.0123943127691745,0.0053160986863076,0.0075174453668296,0.0050575141794979,CNN1D
h7,0.42,0.3768115942028985,0.5473684210526316,0.4640757913183162,0.2434166899543951,0.0224772170186042,0.0083916904404759,0.0176098737865686,0.0093572018668055,CNN1D
h30,0.4299999999999999,0.4658385093167702,0.6102719033232629,0.5398075777224772,0.2387584972100958,0.0375945195555686,0.0130102476105093,0.0318483896553516,0.0139998793601989,CNN1D
h1,0.4837672710418701,0.5031055900621118,0.4495412844036697,0.4966358793413588,0.2487311641700082,0.0110328746959567,0.0027993323747068,0.0067755747586488,0.0044912244193255,PATCHTST
h7,0.4738498628139496,0.4927536231884058,0.3920595533498759,0.4856430944470811,0.2442193462320203,0.0214961878955364,0.0075871841982007,0.0156621187925338,0.0088860262185335,PATCHTST
h30,0.48734250664711,0.3809523809523809,0.293144208037825,0.337378640776699,0.2484625384150622,0.0429209731519222,0.013165752403438,0.0335367023944854,0.014486595056951,PATCHTST
h1,0.4757803678512573,0.5010351966873706,0.5594149908592322,0.4979763387297633,0.2484190174682995,0.0161052495241165,0.0052615948952734,0.0080432891845703,0.0052222870290279,ENSEMBLE
h7,0.4677116870880127,0.4989648033126294,0.5567765567765568,0.5889617027490781,0.2431104170893787,0.0210783779621124,0.0081197237595915,0.0158134363591671,0.0087465597316622,ENSEMBLE
h30,0.4686458110809326,0.4699792960662526,0.5844155844155844,0.5917072657810802,0.2445201807358924,0.0419424474239349,0.013035730458796,0.0310029871761798,0.0136739537119865,ENSEMBLE
